Runde,Paket_global,Paket_in_Runde,Praeambel_Score,Drift_Hz,LDPC_korrigiert,Bitfehler
1,1,1,13,-47544,164,124
2,2,1,11,69831,148,132
3,3,1,15,414,158,78
4,4,1,14,-23887,162,127
5,5,1,13,1452,170,132
6,6,1,14,-54384,162,136
7,7,1,12,-24351,149,144
8,8,1,10,-60682,164,146
9,9,1,16,-21192,168,142
10,10,1,11,-19990,183,99
11,11,1,14,-10056,176,124
13,12,1,12,-15736,182,149
14,13,1,13,40317,165,130
15,14,1,16,9142,160,100
16,15,1,16,-18179,156,120
17,16,1,13,-3068,164,74
18,17,1,14,-24638,172,113
20,18,1,10,-16207,168,122
21,19,1,10,30037,174,178
23,20,1,15,30282,174,119
26,21,1,10,6001,171,130
27,22,1,14,2972,172,165
30,23,1,10,61951,183,135
37,24,1,12,22853,176,150
45,25,1,13,-3801,163,123
46,26,1,13,3901,177,97
48,27,1,15,13133,171,112
50,28,1,11,49513,212,137
51,29,1,10,18285,184,165
52,30,1,12,104866,164,153
53,31,1,16,-665,167,39
54,32,1,11,3249,173,152
58,33,1,12,-39009,164,145
136,34,1,12,-29129,174,147
137,35,1,16,-1041,134,21
138,36,1,13,19253,161,132
139,37,1,15,25415,160,131
140,38,1,16,-16506,193,112
141,39,1,14,-270,194,86
142,40,1,15,-40491,165,135
143,41,1,16,-722,158,65
144,42,1,14,-951,161,90
145,43,1,13,-479,188,67
146,44,1,16,9411,162,98
147,45,1,13,23267,167,119
148,46,1,13,-13366,168,112
149,47,1,15,-4203,183,99
150,48,1,12,-37597,183,125
151,49,1,15,-26717,169,126
152,50,1,13,-48643,174,127
153,51,1,14,-30236,172,128
154,52,1,16,16330,170,106
156,53,1,15,24848,178,153
157,54,1,13,-15555,178,101
158,55,1,15,40112,189,137
159,56,1,15,-18451,161,123
161,57,1,16,-694,143,54
162,58,1,16,9097,170,93
163,59,1,16,-16377,170,138
164,60,1,14,6384,188,100
165,61,1,16,-7321,158,104
166,62,1,12,3841,168,123
167,63,1,15,21546,198,117
168,64,1,13,-23291,176,123
169,65,1,12,2536,158,92
170,66,1,15,5025,179,94
171,67,1,15,-7633,168,93
172,68,1,13,-33832,157,113
173,69,1,14,20830,170,145
174,70,1,13,2968,177,103
175,71,1,12,20569,142,166
176,72,1,11,-62,163,113
177,73,1,13,-6519,190,96
179,74,1,15,22706,168,138
180,75,1,13,-4346,159,108
189,76,1,14,-539,181,74
190,77,1,13,-106,174,96
191,78,1,14,351,150,153
192,79,1,13,16842,177,128
197,80,1,11,-54461,183,160
198,81,1,13,-12324,156,122
199,82,1,16,-720,195,72
