Runde,Pakete_erwartet,Pakete_erkannt,Praeambel_Score,Drift_Mittel_Hz,LDPC_Summe,Bitfehler_Summe
1,1,1,13,-47544,164,124
2,1,1,11,69831,148,132
3,1,1,15,414,158,78
4,1,1,14,-23887,162,127
5,1,1,13,1452,170,132
6,1,1,14,-54384,162,136
7,1,1,12,-24351,149,144
8,1,1,10,-60682,164,146
9,1,1,16,-21192,168,142
10,1,1,11,-19990,183,99
11,1,1,14,-10056,176,124
12,1,0,5,,0,0
13,1,1,12,-15736,182,149
14,1,1,13,40317,165,130
15,1,1,16,9142,160,100
16,1,1,16,-18179,156,120
17,1,1,13,-3068,164,74
18,1,1,14,-24638,172,113
19,1,0,9,,0,0
20,1,1,10,-16207,168,122
21,1,1,10,30037,174,178
22,1,0,7,,0,0
23,1,1,15,30282,174,119
24,1,0,6,,0,0
25,1,0,6,,0,0
26,1,1,10,6001,171,130
27,1,1,14,2972,172,165
28,1,0,7,,0,0
29,1,0,9,,0,0
30,1,1,10,61951,183,135
31,1,0,8,,0,0
32,1,0,8,,0,0
33,1,0,9,,0,0
34,1,0,7,,0,0
35,1,0,9,,0,0
36,1,0,9,,0,0
37,1,1,12,22853,176,150
38,1,0,7,,0,0
39,1,0,5,,0,0
40,1,0,6,,0,0
41,1,0,7,,0,0
42,1,0,9,,0,0
43,1,0,8,,0,0
44,1,0,8,,0,0
45,1,1,13,-3801,163,123
46,1,1,13,3901,177,97
47,1,0,4,,0,0
48,1,1,15,13133,171,112
49,1,0,5,,0,0
50,1,1,11,49513,212,137
51,1,1,10,18285,184,165
52,1,1,12,104866,164,153
53,1,1,16,-665,167,39
54,1,1,11,3249,173,152
55,1,0,7,,0,0
56,1,0,8,,0,0
57,1,0,7,,0,0
58,1,1,12,-39009,164,145
59,1,0,7,,0,0
60,1,0,6,,0,0
61,1,0,6,,0,0
62,1,0,8,,0,0
63,1,0,6,,0,0
64,1,0,7,,0,0
65,1,0,8,,0,0
66,1,0,7,,0,0
67,1,0,7,,0,0
68,1,0,6,,0,0
69,1,0,6,,0,0
70,1,0,5,,0,0
71,1,0,6,,0,0
72,1,0,6,,0,0
73,1,0,5,,0,0
74,1,0,6,,0,0
75,1,0,8,,0,0
76,1,0,7,,0,0
77,1,0,5,,0,0
78,1,0,6,,0,0
79,1,0,7,,0,0
80,1,0,6,,0,0
81,1,0,6,,0,0
82,1,0,4,,0,0
83,1,0,4,,0,0
84,1,0,7,,0,0
85,1,0,9,,0,0
86,1,0,6,,0,0
87,1,0,9,,0,0
88,1,0,7,,0,0
89,1,0,6,,0,0
90,1,0,5,,0,0
91,1,0,8,,0,0
92,1,0,7,,0,0
93,1,0,8,,0,0
94,1,0,6,,0,0
95,1,0,6,,0,0
96,1,0,5,,0,0
97,1,0,5,,0,0
98,1,0,5,,0,0
99,1,0,7,,0,0
100,1,0,6,,0,0
101,1,0,8,,0,0
102,1,0,7,,0,0
103,1,0,5,,0,0
104,1,0,5,,0,0
105,1,0,6,,0,0
106,1,0,7,,0,0
107,1,0,8,,0,0
108,1,0,5,,0,0
109,1,0,7,,0,0
110,1,0,8,,0,0
111,1,0,6,,0,0
112,1,0,5,,0,0
113,1,0,8,,0,0
114,1,0,6,,0,0
115,1,0,5,,0,0
116,1,0,7,,0,0
117,1,0,7,,0,0
118,1,0,3,,0,0
119,1,0,5,,0,0
120,1,0,7,,0,0
121,1,0,3,,0,0
122,1,0,6,,0,0
123,1,0,6,,0,0
124,1,0,7,,0,0
125,1,0,4,,0,0
126,1,0,7,,0,0
127,1,0,7,,0,0
128,1,0,7,,0,0
129,1,0,5,,0,0
130,1,0,4,,0,0
131,1,0,6,,0,0
132,1,0,5,,0,0
133,1,0,8,,0,0
134,1,0,5,,0,0
135,1,0,5,,0,0
136,1,1,12,-29129,174,147
137,1,1,16,-1041,134,21
138,1,1,13,19253,161,132
139,1,1,15,25415,160,131
140,1,1,16,-16506,193,112
141,1,1,14,-270,194,86
142,1,1,15,-40491,165,135
143,1,1,16,-722,158,65
144,1,1,14,-951,161,90
145,1,1,13,-479,188,67
146,1,1,16,9411,162,98
147,1,1,13,23267,167,119
148,1,1,13,-13366,168,112
149,1,1,15,-4203,183,99
150,1,1,12,-37597,183,125
151,1,1,15,-26717,169,126
152,1,1,13,-48643,174,127
153,1,1,14,-30236,172,128
154,1,1,16,16330,170,106
155,1,0,4,,0,0
156,1,1,15,24848,178,153
157,1,1,13,-15555,178,101
158,1,1,15,40112,189,137
159,1,1,15,-18451,161,123
160,1,0,6,,0,0
161,1,1,16,-694,143,54
162,1,1,16,9097,170,93
163,1,1,16,-16377,170,138
164,1,1,14,6384,188,100
165,1,1,16,-7321,158,104
166,1,1,12,3841,168,123
167,1,1,15,21546,198,117
168,1,1,13,-23291,176,123
169,1,1,12,2536,158,92
170,1,1,15,5025,179,94
171,1,1,15,-7633,168,93
172,1,1,13,-33832,157,113
173,1,1,14,20830,170,145
174,1,1,13,2968,177,103
175,1,1,12,20569,142,166
176,1,1,11,-62,163,113
177,1,1,13,-6519,190,96
178,1,0,6,,0,0
179,1,1,15,22706,168,138
180,1,1,13,-4346,159,108
181,1,0,5,,0,0
182,1,0,6,,0,0
183,1,0,7,,0,0
184,1,0,5,,0,0
185,1,0,6,,0,0
186,1,0,5,,0,0
187,1,0,4,,0,0
188,1,0,8,,0,0
189,1,1,14,-539,181,74
190,1,1,13,-106,174,96
191,1,1,14,351,150,153
192,1,1,13,16842,177,128
193,1,0,7,,0,0
194,1,0,7,,0,0
195,1,0,9,,0,0
196,1,0,7,,0,0
197,1,1,11,-54461,183,160
198,1,1,13,-12324,156,122
199,1,1,16,-720,195,72
200,1,0,7,,0,0
