Runde,Pakete_erwartet,Pakete_erkannt,Praeambel_Score,Drift_Mittel_Hz,LDPC_Summe,Bitfehler_Summe
1,1,0,5,,0,0
2,1,2,16,9194,195,143
3,1,1,16,874,0,0
4,1,1,16,859,0,0
5,1,0,7,,0,0
6,1,1,16,799,0,0
7,1,1,16,886,0,0
8,1,1,16,824,0,0
9,1,1,16,843,9,0
10,1,1,16,834,0,0
11,1,1,16,824,0,0
12,1,1,16,917,26,0
13,1,1,16,974,0,0
14,1,1,16,933,0,0
15,1,1,16,849,1,0
16,1,1,16,878,0,0
17,1,1,16,838,0,0
18,1,1,16,809,0,0
19,1,1,16,867,21,0
20,1,1,16,937,0,0
21,1,1,16,893,0,0
22,1,1,16,862,10,0
23,1,1,16,937,0,0
24,1,1,16,886,0,0
25,1,1,16,867,0,0
26,1,1,16,930,3,0
27,1,1,16,850,0,0
28,1,1,16,837,0,0
29,1,1,16,862,16,0
30,1,1,16,826,0,0
31,1,1,16,889,0,0
32,1,1,16,839,13,0
33,1,1,16,862,0,0
34,1,1,16,915,0,0
35,1,1,16,806,13,0
36,1,1,16,854,0,0
37,1,1,16,937,0,0
38,1,1,16,846,1,0
39,1,1,16,823,3,0
40,1,1,16,805,0,0
41,1,1,16,778,0,0
42,1,1,16,752,20,0
43,1,1,16,915,0,0
44,1,1,16,831,5,0
45,1,1,16,870,25,0
46,1,0,7,,0,0
47,1,1,16,759,24,0
48,1,1,16,882,32,0
49,1,1,16,863,16,0
50,1,1,16,1017,0,0
51,1,1,16,899,43,0
52,1,1,15,-3082,176,76
53,1,0,5,,0,0
54,1,1,16,892,167,49
55,1,0,7,,0,0
56,1,1,10,10702,160,150
57,1,0,7,,0,0
58,1,0,8,,0,0
59,1,1,14,17602,172,134
60,1,1,11,-15892,163,110
61,1,1,16,946,164,49
62,1,0,6,,0,0
63,1,1,16,754,23,0
64,1,1,16,-3043,159,61
65,1,0,4,,0,0
66,1,1,10,12470,183,149
67,1,1,15,16455,160,114
68,1,1,15,500,163,96
69,1,1,12,-2526,178,106
70,1,1,16,1219,107,6
71,1,1,11,-1624,163,156
72,1,0,8,,0,0
73,1,1,11,-45427,166,148
74,1,1,13,-21323,176,143
75,1,1,16,13178,182,84
76,1,1,16,960,20,0
77,1,1,16,829,27,0
78,1,1,16,679,13,0
79,1,1,15,-1507,176,123
80,1,1,11,-8175,153,124
81,1,0,8,,0,0
82,1,1,16,6878,166,74
83,1,1,16,918,34,0
84,1,1,16,-958,157,65
85,1,1,16,851,0,0
86,1,1,16,861,0,0
87,1,1,16,762,21,0
88,1,1,16,884,17,0
89,1,1,16,1037,13,0
90,1,1,16,780,42,0
91,1,1,10,29607,143,156
92,1,1,16,866,14,0
93,1,1,16,1060,17,0
94,1,1,10,-86654,188,147
95,1,1,15,-3563,180,104
96,1,1,16,1050,170,35
97,1,1,16,772,78,4
98,1,1,15,-15980,160,118
99,1,1,16,934,165,50
100,1,1,15,-4309,159,85
101,1,1,16,587,159,66
102,1,0,9,,0,0
103,1,1,16,6587,171,78
104,1,0,7,,0,0
105,1,1,16,478,81,21
106,1,0,7,,0,0
107,1,1,11,-18057,144,139
108,1,1,16,584,166,26
109,1,1,16,819,192,37
110,1,1,12,16821,166,131
111,1,1,12,1738,180,101
112,1,1,16,452,166,36
113,1,2,16,5354,219,149
114,1,0,5,,0,0
115,1,0,8,,0,0
116,1,0,9,,0,0
117,1,1,14,1216,141,90
118,1,1,14,633,179,87
119,1,1,16,653,123,13
120,1,0,4,,0,0
121,1,2,16,-9946,246,174
122,1,1,15,-8752,165,83
123,1,1,15,-25095,151,107
124,1,1,15,-5240,190,73
125,1,1,10,8904,147,113
126,1,1,16,840,0,0
127,1,1,16,665,27,0
128,1,1,16,1311,9,0
129,1,1,16,1059,57,0
130,1,1,11,-8357,179,124
131,1,1,16,1009,48,0
132,1,1,12,7800,156,115
133,1,1,16,1211,164,60
134,1,1,16,10186,164,100
135,1,1,14,9854,187,142
136,1,0,6,,0,0
137,1,0,6,,0,0
138,1,0,7,,0,0
139,1,0,8,,0,0
140,1,1,16,1124,148,57
141,1,1,16,1088,10,0
142,1,1,16,-4391,181,82
143,1,0,7,,0,0
144,1,0,5,,0,0
145,1,0,6,,0,0
146,1,0,9,,0,0
147,1,1,16,4566,156,77
148,1,1,16,14965,170,89
149,1,1,16,1421,182,76
150,1,1,16,830,22,0
151,1,1,16,715,14,0
152,1,1,16,-8384,170,121
153,1,1,16,518,170,79
154,1,1,16,788,44,0
155,1,2,16,-2388,220,150
156,1,1,16,646,177,47
157,1,1,15,28381,191,131
158,1,1,10,-45118,168,166
159,1,1,16,306,171,58
160,1,1,16,8732,189,79
161,1,1,16,-9847,178,77
162,1,0,7,,0,0
163,1,1,16,638,42,0
164,1,1,16,722,195,48
165,1,1,16,921,174,35
166,1,1,16,-3033,199,70
167,1,1,16,670,24,0
168,1,1,16,824,73,7
169,1,1,16,954,201,43
170,1,1,16,818,169,22
171,1,1,16,961,200,48
172,1,1,16,802,167,41
173,1,1,16,1008,156,27
174,1,1,16,669,97,13
175,1,1,16,903,41,0
176,1,1,16,984,12,0
177,1,1,16,712,15,0
178,1,1,16,1217,21,0
179,1,1,16,-8603,159,110
180,1,1,16,655,53,0
181,1,1,14,567,182,67
182,1,1,16,1137,30,0
183,1,1,16,838,27,0
184,1,1,15,-5283,170,49
185,1,1,14,12398,173,96
186,1,2,16,18040,251,173
187,1,1,16,966,24,0
188,1,2,16,6381,205,162
189,1,0,4,,0,0
190,1,1,16,1243,0,0
191,1,1,16,878,6,0
192,1,1,16,1084,29,0
193,1,1,16,827,0,0
194,1,1,16,1027,0,0
195,1,1,16,957,26,0
196,1,1,16,766,6,0
197,1,1,16,836,5,0
198,1,1,16,918,11,0
199,1,1,16,843,10,0
200,1,1,16,901,0,0
