Runde,Paket_global,Paket_in_Runde,Praeambel_Score,Drift_Hz,LDPC_korrigiert,Bitfehler
6,1,1,16,806,0,0
7,2,1,16,697,13,0
8,3,1,16,784,42,0
9,4,1,16,839,0,0
10,5,1,16,743,0,0
11,6,1,16,810,14,0
12,7,1,16,794,0,0
13,8,1,16,772,0,0
14,9,1,16,999,81,4
15,10,1,16,938,13,0
16,11,1,16,849,0,0
17,12,1,16,904,0,0
18,13,1,16,872,25,0
19,14,1,16,923,0,0
20,15,1,16,798,21,0
21,16,1,16,858,21,0
22,17,1,16,891,36,0
23,18,1,16,854,0,0
24,19,1,16,594,17,0
25,20,1,16,599,34,0
26,21,1,16,781,0,0
27,22,1,16,778,16,0
28,23,1,16,835,12,0
29,24,1,16,860,0,0
30,25,1,16,918,0,0
31,26,1,16,825,21,0
32,27,1,16,874,0,0
32,28,2,10,43425,168,152
33,29,1,16,848,0,0
34,30,1,16,816,17,0
35,31,1,16,923,0,0
36,32,1,16,890,0,0
37,33,1,16,762,11,0
38,34,1,16,813,0,0
39,35,1,16,814,0,0
40,36,1,16,872,0,0
41,37,1,16,1033,0,0
42,38,1,16,904,0,0
43,39,1,16,762,8,0
44,40,1,16,870,14,0
45,41,1,16,777,0,0
46,42,1,16,789,0,0
47,43,1,16,914,35,0
48,44,1,16,755,7,0
48,45,2,10,13660,165,163
49,46,1,16,910,0,0
50,47,1,16,855,24,0
51,48,1,16,752,4,0
52,49,1,16,905,7,0
53,50,1,16,908,9,0
54,51,1,16,766,7,0
55,52,1,16,800,0,0
56,53,1,16,735,9,0
57,54,1,16,971,20,0
58,55,1,16,838,0,0
59,56,1,16,826,0,0
60,57,1,16,842,35,0
61,58,1,16,905,28,0
62,59,1,16,893,0,0
63,60,1,16,998,1,0
64,61,1,16,835,3,0
65,62,1,16,822,0,0
66,63,1,16,874,4,0
67,64,1,16,1017,6,0
68,65,1,16,773,0,0
69,66,1,16,785,0,0
70,67,1,16,792,31,0
71,68,1,16,844,0,0
72,69,1,16,861,0,0
73,70,1,16,990,4,0
74,71,1,16,818,19,0
75,72,1,16,844,21,0
76,73,1,16,724,7,0
77,74,1,16,955,31,0
78,75,1,16,926,10,0
79,76,1,16,937,0,0
80,77,1,16,904,13,0
81,78,1,16,810,5,0
82,79,1,16,834,0,0
83,80,1,16,870,0,0
84,81,1,16,868,37,0
85,82,1,16,880,0,0
86,83,1,16,717,5,0
87,84,1,16,693,44,0
88,85,1,16,739,18,0
89,86,1,16,487,17,0
90,87,1,16,893,21,0
91,88,1,16,942,19,0
91,89,2,10,61087,159,164
92,90,1,16,769,11,0
93,91,1,16,953,0,0
94,92,1,16,844,25,0
95,93,1,16,944,30,0
96,94,1,16,694,22,0
97,95,1,16,973,23,0
98,96,1,16,910,34,0
99,97,1,16,840,5,0
100,98,1,16,1107,4,0
101,99,1,16,933,48,0
101,100,2,10,70228,160,167
102,101,1,16,805,7,0
103,102,1,16,771,22,0
104,103,1,16,721,14,0
105,104,1,16,880,23,0
106,105,1,16,858,3,0
107,106,1,16,866,37,0
108,107,1,16,796,104,21
109,108,1,16,622,162,59
110,109,1,15,16450,163,117
111,110,1,16,1197,31,0
112,111,1,16,942,29,0
113,112,1,16,869,22,0
114,113,1,14,-11373,170,130
116,114,1,16,957,43,0
117,115,1,13,-68105,156,158
119,116,1,14,-24562,164,130
122,117,1,13,-27756,155,139
123,118,1,13,-9835,161,125
124,119,1,11,-27048,190,144
125,120,1,12,-19115,167,166
131,121,1,11,-14314,176,140
133,122,1,11,20875,176,171
134,123,1,16,1000,0,0
135,124,1,16,794,14,0
136,125,1,16,1000,197,41
137,126,1,16,957,10,0
138,127,1,16,815,18,0
139,128,1,16,10685,164,86
140,129,1,16,795,6,0
141,130,1,16,886,167,60
142,131,1,16,1018,4,0
143,132,1,16,841,35,0
144,133,1,16,883,56,2
145,134,1,16,928,164,29
146,135,1,16,530,8,0
147,136,1,16,634,11,0
148,137,1,16,977,36,0
149,138,1,16,748,6,0
150,139,1,16,859,30,0
151,140,1,16,872,5,0
152,141,1,16,736,23,0
153,142,1,16,687,37,0
154,143,1,16,798,41,0
156,144,1,16,648,196,29
156,145,2,10,-83473,162,165
157,146,1,16,859,24,0
158,147,1,16,433,172,55
159,148,1,15,-9576,176,105
160,149,1,16,1183,189,42
161,150,1,16,715,133,11
162,151,1,11,6483,160,118
162,152,2,10,-15190,158,145
163,153,1,16,-21868,161,135
164,154,1,16,800,25,0
165,155,1,16,744,47,0
166,156,1,16,936,144,32
167,157,1,15,22288,177,127
168,158,1,14,27642,168,127
169,159,1,15,14200,166,87
170,160,1,13,-2660,187,90
171,161,1,16,13875,166,82
172,162,1,16,889,18,0
173,163,1,16,941,32,0
175,164,1,12,-32236,153,117
176,165,1,15,26611,188,135
177,166,1,16,865,32,0
178,167,1,16,795,1,0
179,168,1,16,633,52,0
180,169,1,16,1189,4,0
181,170,1,16,800,3,0
182,171,1,16,850,23,0
183,172,1,16,690,21,0
184,173,1,16,820,24,0
185,174,1,16,908,48,0
186,175,1,16,803,24,0
187,176,1,16,852,40,0
188,177,1,16,886,40,0
189,178,1,16,967,32,0
190,179,1,16,967,20,0
191,180,1,16,665,46,4
192,181,1,16,631,36,0
193,182,1,16,873,9,0
194,183,1,16,1010,40,6
195,184,1,16,810,20,0
196,185,1,16,661,13,0
197,186,1,16,882,13,0
198,187,1,16,713,25,0
199,188,1,16,958,0,0
200,189,1,16,701,17,0
