Runde,Pakete_erwartet,Pakete_erkannt,Praeambel_Score,Drift_Mittel_Hz,LDPC_Summe,Bitfehler_Summe
1,1,1,16,-731,20,0
2,1,1,15,-997,184,42
3,1,1,16,-876,18,0
4,1,1,16,-669,45,0
5,1,1,16,-687,0,0
6,1,1,16,-989,50,3
7,1,1,13,11196,163,117
8,1,0,5,,0,0
9,1,1,16,-731,170,84
10,1,1,14,-12724,164,105
11,1,1,16,-745,0,0
12,1,1,16,-771,14,0
13,1,1,16,-424,143,54
14,1,1,16,-796,7,0
15,1,1,16,-840,19,0
16,1,1,16,-776,5,0
17,1,1,16,-798,11,0
18,1,1,16,-908,0,0
19,1,1,16,-852,0,0
20,1,1,16,-780,10,0
21,1,1,16,-757,0,0
22,1,1,16,-844,3,0
23,1,1,16,-835,23,0
24,1,1,16,-826,0,0
25,1,1,16,-803,42,0
26,1,1,16,-1035,84,16
27,1,1,16,-863,6,0
28,1,1,16,-823,23,0
29,1,1,16,-689,22,0
30,1,1,16,-789,0,0
31,1,1,16,-851,0,0
32,1,1,16,-905,9,0
33,1,1,16,-811,0,0
34,1,1,16,-746,0,0
35,1,1,16,-744,6,0
36,1,1,16,-761,0,0
37,1,1,16,-873,15,0
38,1,1,16,2860,179,97
39,1,1,16,-653,40,0
40,1,1,16,-757,15,0
41,1,1,16,-650,219,21
42,1,1,15,-478,91,6
43,1,1,16,-883,33,0
44,1,1,16,-889,5,0
45,1,0,7,,0,0
46,1,1,16,-833,25,0
47,1,1,16,-837,12,0
48,1,1,16,-854,9,0
49,1,1,16,-867,20,0
50,1,1,16,-778,0,0
51,1,1,16,-839,0,0
52,1,1,16,-753,17,0
53,1,1,16,-773,0,0
54,1,1,16,-798,0,0
55,1,1,16,-770,21,0
56,1,1,16,-760,6,0
57,1,1,16,-844,0,0
58,1,1,16,-787,17,0
59,1,1,16,-825,0,0
60,1,1,16,-780,0,0
61,1,1,16,-868,18,0
62,1,1,16,-802,0,0
63,1,1,16,-921,0,0
64,1,1,16,-925,26,0
65,1,1,16,-767,0,0
66,1,1,16,-874,0,0
67,1,1,16,-959,19,0
68,1,1,16,-761,0,0
69,1,1,16,-721,0,0
70,1,1,16,-790,13,0
71,1,1,16,-746,0,0
72,1,1,16,-717,0,0
73,1,1,13,61415,166,138
74,1,0,5,,0,0
75,1,1,16,-713,11,0
76,1,1,16,-785,92,4
77,1,1,16,-991,188,40
78,1,1,15,8579,153,79
79,1,1,16,-711,9,0
80,1,1,16,-595,29,5
81,1,1,16,-868,7,0
82,1,1,16,-763,0,0
83,1,1,16,-879,0,0
84,1,1,16,-808,21,0
85,1,1,16,-720,0,0
86,1,1,16,-725,0,0
87,1,1,16,-812,17,0
88,1,1,16,-812,0,0
89,1,1,16,-786,1,0
90,1,1,16,-778,2,0
91,1,1,16,-875,9,0
92,1,1,16,-861,0,0
93,1,1,16,-786,2,0
94,1,1,16,-843,3,0
95,1,1,16,-872,4,0
96,1,1,16,-835,3,0
97,1,1,16,-757,0,0
98,1,1,16,-825,15,0
99,1,1,16,-790,0,0
100,1,1,16,-743,0,0
101,1,1,16,-752,25,0
102,1,1,16,-590,0,0
103,1,1,16,-892,0,0
104,1,1,16,-763,18,0
105,1,1,16,-722,9,0
106,1,1,16,-755,11,0
107,1,1,16,-1050,7,0
108,1,1,16,-773,12,0
109,1,1,16,-642,15,0
110,1,1,16,-709,22,0
111,1,1,16,-912,38,0
112,1,1,16,-741,9,0
113,1,1,16,-925,56,0
114,1,1,16,-807,20,0
115,1,1,16,-934,8,0
116,1,1,16,-685,1,0
117,1,1,16,-607,3,0
118,1,1,16,-821,26,0
119,1,1,16,-639,9,0
120,1,1,16,-748,16,0
121,1,1,16,-677,34,0
122,1,1,16,-574,0,0
123,1,1,16,-887,0,0
124,1,1,16,-959,36,1
125,1,1,16,-845,0,0
126,1,1,16,-2622,169,85
127,1,1,16,-1025,10,0
128,1,1,16,-800,0,0
129,1,1,16,-734,0,0
130,1,1,16,-723,20,0
131,1,1,16,-781,9,0
132,1,1,16,-741,24,0
133,1,1,16,-769,19,0
134,1,1,16,-655,9,0
135,1,1,16,-826,24,0
136,1,1,16,-821,0,0
137,1,1,16,-877,0,0
138,1,1,16,-812,2,0
139,1,1,16,-664,20,0
140,1,1,16,-811,0,0
141,1,1,16,-658,10,0
142,1,1,16,-705,0,0
143,1,1,16,-817,0,0
144,1,1,16,-763,7,0
145,1,1,16,-910,19,0
146,1,1,16,-792,8,0
147,1,1,16,-777,19,0
148,1,1,16,-903,17,0
149,1,1,16,-794,0,0
150,1,1,16,-825,4,0
151,1,1,16,-872,0,0
152,1,1,16,-722,0,0
153,1,1,16,-963,7,0
154,1,1,16,-727,9,0
155,1,1,16,-910,0,0
156,1,1,16,-905,23,0
