Runde,Pakete_erwartet,Pakete_erkannt,Praeambel_Score,Drift_Mittel_Hz,LDPC_Summe,Bitfehler_Summe
1,1,0,9,,0,0
2,1,0,7,,0,0
3,1,1,10,-18960,179,164
4,1,2,16,-31453,175,162
5,1,1,16,-960,0,0
6,1,2,16,4358,172,173
7,1,1,16,-905,19,0
8,1,1,16,-939,0,0
9,1,1,16,-1016,0,0
10,1,1,16,-889,0,0
11,1,1,16,-933,4,0
12,1,1,16,-866,5,0
13,1,1,16,-1049,0,0
14,1,1,16,-987,0,0
15,1,2,16,8680,171,151
16,1,1,16,-927,14,0
17,1,1,16,-1025,0,0
18,1,1,16,-946,0,0
19,1,1,16,-1058,0,0
20,1,2,16,-4970,159,156
21,1,1,16,-905,9,0
22,1,1,16,-982,0,0
23,1,1,16,-1048,0,0
24,1,1,16,-1083,0,0
25,1,1,16,-1027,11,0
26,1,0,8,,0,0
27,1,1,16,-1042,0,0
28,1,1,16,-931,0,0
29,1,1,16,-1117,2,0
30,1,1,16,-977,23,0
31,1,1,16,-919,1,0
32,1,1,16,-892,0,0
33,1,2,16,-129,151,162
34,1,0,8,,0,0
35,1,1,16,-923,19,0
36,1,1,16,-984,2,0
37,1,1,16,-1001,9,0
38,1,1,16,-1095,3,0
39,1,1,16,-989,0,0
40,1,1,16,-892,27,0
41,1,1,16,-1095,0,0
42,1,1,16,-926,0,0
43,1,1,16,-908,0,0
44,1,1,16,-888,0,0
45,1,1,16,-1018,29,0
46,1,1,16,-1147,0,0
47,1,1,16,-809,7,0
48,1,0,9,,0,0
49,1,2,16,-15840,172,176
50,1,1,16,-1019,24,0
51,1,1,16,-875,9,0
52,1,1,16,-930,0,0
53,1,1,16,-960,0,0
54,1,2,16,-13702,173,165
55,1,2,16,-875,179,148
56,1,1,16,-972,0,0
57,1,1,16,-975,0,0
58,1,1,16,-906,0,0
59,1,1,16,-948,0,0
60,1,1,16,-967,19,0
61,1,2,16,-24564,170,151
62,1,1,16,-951,4,0
63,1,1,16,-923,0,0
64,1,2,16,56037,165,168
65,1,1,16,-1047,14,0
66,1,1,16,-1034,4,0
67,1,1,16,-952,9,0
68,1,1,16,-911,5,0
69,1,1,16,-898,1,0
70,1,1,16,-1030,17,0
71,1,1,16,-1001,0,0
72,1,1,16,-1020,0,0
73,1,1,16,-1015,0,0
74,1,1,16,-788,1,0
75,1,1,16,-902,13,0
76,1,1,16,-1191,0,0
77,1,2,16,9574,182,167
78,1,1,16,-901,0,0
79,1,1,16,-782,0,0
80,1,1,16,-1079,12,0
81,1,1,16,-928,0,0
82,1,1,16,-1048,0,0
83,1,1,16,-1107,0,0
84,1,1,16,-980,2,0
85,1,1,16,-866,17,0
86,1,1,16,-906,0,0
87,1,1,16,-1045,0,0
88,1,2,16,-20869,175,162
89,1,1,16,-888,4,0
90,1,1,16,-876,8,0
91,1,1,16,-1020,0,0
92,1,1,16,-1016,0,0
93,1,1,16,-915,0,0
94,1,1,16,-990,10,0
95,1,1,16,-1020,10,0
96,1,1,16,-926,0,0
97,1,1,16,-940,0,0
98,1,1,16,-913,0,0
99,1,1,16,-1076,18,0
100,1,1,16,-907,0,0
101,1,1,16,-934,0,0
102,1,1,16,-1053,0,0
103,1,1,16,-1009,0,0
104,1,1,16,-1012,13,0
105,1,1,16,-997,0,0
106,1,1,16,-884,0,0
107,1,1,16,-905,0,0
108,1,1,16,-947,17,0
109,1,1,16,-1006,0,0
110,1,1,16,-1017,0,0
111,1,1,16,-1082,0,0
112,1,1,16,-980,0,0
113,1,1,16,-1046,24,0
114,1,1,16,-952,0,0
115,1,1,16,-997,0,0
116,1,1,16,-1119,0,0
117,1,1,16,-1099,2,0
118,1,1,16,-948,14,0
119,1,1,16,-1007,0,0
120,1,1,16,-857,0,0
121,1,1,16,-1013,3,0
122,1,1,16,-785,21,0
123,1,1,16,-965,2,0
124,1,1,16,-1009,0,0
125,1,1,16,-847,0,0
126,1,1,16,-896,10,0
127,1,1,16,-930,9,0
128,1,1,16,-956,0,0
129,1,1,16,-1026,3,0
130,1,1,16,-993,2,0
131,1,1,16,-855,10,0
132,1,1,16,-944,0,0
133,1,1,16,-944,0,0
134,1,1,16,-902,0,0
135,1,1,16,-950,21,0
136,1,1,16,-908,0,0
137,1,1,16,-1012,0,0
138,1,1,16,-877,0,0
139,1,1,16,-874,13,0
140,1,1,16,-1048,0,0
141,1,0,9,,0,0
142,1,1,16,-935,0,0
143,1,1,16,-997,8,0
144,1,1,16,-1029,0,0
145,1,1,16,-1003,0,0
146,1,1,16,-989,0,0
147,1,1,16,-820,0,0
148,1,1,16,-935,11,0
149,1,1,16,-972,0,0
150,1,1,16,-816,0,0
151,1,1,16,-983,0,0
152,1,1,16,-854,6,0
153,1,2,16,-18734,170,161
154,1,1,16,-915,0,0
155,1,2,16,-1576,166,155
156,1,1,16,-869,7,0
157,1,1,16,-909,0,0
158,1,1,16,-847,0,0
159,1,1,16,-897,0,0
160,1,1,16,-909,18,0
161,1,1,16,-904,0,0
162,1,1,16,-944,0,0
163,1,1,16,-904,0,0
164,1,1,16,-1038,22,0
165,1,1,16,-850,0,0
166,1,1,16,-992,0,0
167,1,1,16,-926,0,0
168,1,1,16,-840,12,0
169,1,1,16,-956,2,0
170,1,1,16,-835,0,0
171,1,1,16,-1029,0,0
172,1,1,16,-1053,3,0
173,1,1,16,-1088,5,0
174,1,1,16,-968,0,0
175,1,1,16,-987,0,0
176,1,1,16,-866,2,0
177,1,1,16,-927,16,0
178,1,1,16,-1107,0,0
179,1,2,16,-16667,159,156
180,1,1,16,-987,0,0
181,1,1,16,-936,8,0
182,1,1,16,-938,1,0
183,1,3,16,-24978,374,326
184,1,1,16,-838,0,0
185,1,0,8,,0,0
186,1,1,16,-867,6,0
187,1,1,16,-925,0,0
188,1,1,16,-1005,0,0
189,1,1,16,-873,10,0
190,1,1,16,-786,7,0
191,1,1,16,-939,0,0
192,1,1,16,-967,0,0
193,1,1,16,-865,0,0
194,1,1,16,-973,1,0
195,1,1,16,-901,0,0
196,1,1,16,-862,0,0
197,1,1,16,-912,0,0
198,1,0,8,,0,0
199,1,0,8,,0,0
200,1,0,6,,0,0
