Runde,Paket_global,Paket_in_Runde,Praeambel_Score,Drift_Hz,LDPC_korrigiert,Bitfehler
1,1,1,16,-1039,16,0
1,2,2,10,4726,154,155
2,3,1,16,-1088,0,0
3,4,1,16,-913,5,0
4,5,1,16,-1021,0,0
5,6,1,16,-1004,28,0
6,7,1,16,-1149,2,0
7,8,1,16,-1064,0,0
8,9,1,16,-876,0,0
9,10,1,16,-1066,2,0
10,11,1,16,-942,27,0
11,12,1,16,-967,5,0
12,13,1,16,-871,9,0
13,14,1,16,-888,0,0
14,15,1,16,-933,15,0
15,16,1,16,-1047,170,67
16,17,1,16,-8706,178,83
17,18,1,16,-898,179,46
18,19,1,16,-5023,167,54
19,20,1,16,-1140,49,0
20,21,1,16,-789,25,0
21,22,1,16,-911,16,0
22,23,1,16,-887,5,0
23,24,1,16,-715,28,0
24,25,1,16,-1190,51,0
25,26,1,16,-1007,3,0
26,27,1,16,-1064,12,0
27,28,1,16,-1076,11,0
28,29,1,16,-1030,8,0
29,30,1,16,-709,19,0
30,31,1,16,-999,0,0
31,32,1,16,-1060,0,0
32,33,1,16,-979,0,0
33,34,1,16,-1012,21,0
34,35,1,16,-1126,0,0
35,36,1,16,-1082,0,0
36,37,1,16,-898,0,0
37,38,1,16,-869,4,0
38,39,1,16,-864,18,0
39,40,1,16,-884,0,0
40,41,1,16,-966,0,0
41,42,1,16,-1057,0,0
41,43,2,10,9048,180,150
42,44,1,16,-800,19,0
43,45,1,16,-937,3,0
44,46,1,16,-882,0,0
45,47,1,16,-967,4,0
46,48,1,16,-929,0,0
47,49,1,16,-1011,18,0
48,50,1,16,-866,0,0
49,51,1,16,-967,0,0
50,52,1,16,-880,0,0
51,53,1,16,-870,8,0
52,54,1,16,-948,14,0
53,55,1,16,-1018,7,0
54,56,1,16,-974,0,0
55,57,1,16,-1038,8,0
56,58,1,16,-1089,6,0
57,59,1,16,-1000,16,0
58,60,1,16,-1001,0,0
59,61,1,16,-879,0,0
60,62,1,16,-929,0,0
61,63,1,16,-976,16,0
62,64,1,16,-939,4,0
63,65,1,16,-1093,0,0
64,66,1,16,-1066,0,0
65,67,1,16,-900,6,0
66,68,1,16,-774,20,0
67,69,1,16,-943,0,0
68,70,1,16,-940,11,0
69,71,1,16,-935,5,0
70,72,1,16,-853,29,0
71,73,1,16,-910,9,0
72,74,1,16,-1015,14,0
73,75,1,16,-904,4,0
74,76,1,16,-1070,0,0
75,77,1,16,-598,30,0
75,78,2,10,-17617,168,178
76,79,1,16,-1045,0,0
77,80,1,16,-978,0,0
78,81,1,16,-979,0,0
78,82,2,10,45349,178,159
80,83,1,16,-772,2,0
81,84,1,16,-1000,0,0
82,85,1,16,-936,0,0
82,86,2,10,28555,175,145
83,87,1,16,-1056,3,0
84,88,1,16,-1040,18,0
85,89,1,16,-927,9,0
86,90,1,16,-1095,9,0
87,91,1,16,-892,0,0
88,92,1,16,-834,0,0
89,93,1,16,-873,38,0
90,94,1,16,-1104,0,0
91,95,1,16,-969,0,0
91,96,2,10,-25644,180,168
92,97,1,16,-1036,0,0
93,98,1,16,-1105,4,0
94,99,1,16,-853,11,0
95,100,1,16,-1046,0,0
96,101,1,16,-953,0,0
97,102,1,16,-925,0,0
98,103,1,16,-888,27,0
99,104,1,16,-903,5,0
100,105,1,16,-1022,0,0
101,106,1,16,-1135,0,0
102,107,1,16,-943,4,0
103,108,1,16,-1084,26,0
104,109,1,16,-986,0,0
105,110,1,16,-960,0,0
106,111,1,16,-915,0,0
106,112,2,10,39015,186,174
107,113,1,16,-844,12,0
108,114,1,16,-827,2,0
109,115,1,16,-995,0,0
109,116,2,10,31933,176,141
110,117,1,16,-923,0,0
111,118,1,16,-941,0,0
112,119,1,16,-1051,22,0
113,120,1,16,-882,7,0
114,121,1,16,-1013,0,0
114,122,2,11,4142,170,164
115,123,1,16,-928,0,0
116,124,1,16,-991,13,0
117,125,1,16,-979,0,0
118,126,1,16,-1015,0,0
118,127,2,11,-47822,166,159
119,128,1,16,-814,0,0
120,129,1,16,-1047,4,0
121,130,1,16,-928,15,0
122,131,1,16,-947,0,0
123,132,1,16,-956,0,0
124,133,1,16,-979,0,0
125,134,1,16,-1041,0,0
126,135,1,16,-996,15,0
127,136,1,16,-890,0,0
128,137,1,16,-885,0,0
129,138,1,16,-1060,0,0
130,139,1,16,-1011,32,0
131,140,1,16,-1063,0,0
132,141,1,16,-952,0,0
133,142,1,16,-916,0,0
134,143,1,16,-1035,0,0
135,144,1,16,-1004,17,0
136,145,1,16,-1043,0,0
137,146,1,16,-954,0,0
138,147,1,16,-859,0,0
139,148,1,16,-942,17,0
139,149,2,10,6062,173,157
140,150,1,16,-801,3,0
141,151,1,16,-845,0,0
142,152,1,16,-1041,0,0
143,153,1,16,-1002,5,0
144,154,1,16,-828,20,0
145,155,1,16,-810,7,0
145,156,2,10,-46034,166,151
146,157,1,16,-968,0,0
147,158,1,16,-1017,7,0
148,159,1,16,-1012,11,0
149,160,1,16,-878,10,0
150,161,1,16,-932,0,0
151,162,1,16,-1117,4,0
152,163,1,16,-931,16,0
153,164,1,16,-883,27,0
154,165,1,16,-787,0,0
155,166,1,16,-892,0,0
155,167,2,10,-37664,166,154
156,168,1,16,-922,0,0
157,169,1,16,-1016,0,0
158,170,1,16,-1038,23,0
159,171,1,16,-1055,0,0
160,172,1,16,-962,0,0
161,173,1,16,-1010,0,0
162,174,1,16,-943,2,0
163,175,1,16,-1000,12,0
163,176,2,11,45136,156,164
164,177,1,16,-968,0,0
165,178,1,16,-898,0,0
165,179,2,10,9748,172,160
166,180,1,16,-896,0,0
167,181,1,16,-916,22,0
168,182,1,16,-964,0,0
169,183,1,16,-901,9,0
170,184,1,16,-1032,0,0
171,185,1,16,-990,1,0
172,186,1,16,-933,27,0
173,187,1,16,-1001,7,0
174,188,1,16,-954,0,0
175,189,1,16,-929,0,0
176,190,1,16,-963,0,0
177,191,1,16,-874,17,0
178,192,1,16,-952,0,0
179,193,1,16,-849,0,0
180,194,1,16,-911,0,0
181,195,1,16,-852,10,0
182,196,1,16,-899,19,0
182,197,2,10,48142,159,169
