Runde,Pakete_erwartet,Pakete_erkannt,Praeambel_Score,Drift_Mittel_Hz,LDPC_Summe,Bitfehler_Summe
1,1,0,7,,0,0
2,1,0,6,,0,0
3,1,1,16,964,0,0
4,1,1,16,991,4,0
5,1,1,16,982,7,0
6,1,1,16,986,0,0
7,1,1,16,1022,0,0
8,1,1,16,928,0,0
9,1,1,16,970,9,0
10,1,1,16,973,2,0
11,1,1,16,971,0,0
12,1,1,16,1005,0,0
13,1,1,16,952,0,0
14,1,1,16,958,18,0
15,1,1,16,958,0,0
16,1,1,16,974,0,0
17,1,1,16,997,0,0
18,1,1,16,980,0,0
19,1,1,16,967,23,0
20,1,1,16,923,0,0
21,1,1,16,975,0,0
22,1,1,16,985,0,0
23,1,1,16,944,5,0
24,1,1,16,1025,0,0
25,1,1,16,961,0,0
26,1,1,16,982,0,0
27,1,1,16,958,0,0
28,1,1,16,1003,7,0
29,1,1,16,926,0,0
30,1,1,16,925,0,0
31,1,1,16,954,0,0
32,1,1,16,901,0,0
33,1,1,16,939,9,0
34,1,1,16,897,0,0
35,1,1,16,936,0,0
36,1,1,16,963,0,0
37,1,1,16,986,25,0
38,1,1,16,956,0,0
39,1,1,16,937,0,0
40,1,1,16,1004,0,0
41,1,1,16,978,0,0
42,1,1,16,951,10,0
43,1,1,16,987,0,0
44,1,1,16,937,0,0
45,1,1,16,988,0,0
46,1,1,16,964,14,0
47,1,1,16,952,0,0
48,1,1,16,974,0,0
49,1,1,16,1026,0,0
50,1,1,16,1007,0,0
51,1,1,16,969,26,0
52,1,1,16,1010,0,0
53,1,1,16,960,0,0
54,1,1,16,947,0,0
55,1,1,16,953,0,0
56,1,1,16,969,12,0
57,1,1,16,994,0,0
58,1,1,16,969,0,0
59,1,1,16,1018,0,0
60,1,1,16,996,0,0
61,1,1,16,968,8,0
62,1,1,16,910,0,0
63,1,1,16,975,0,0
64,1,1,16,964,0,0
65,1,1,16,929,9,0
66,1,1,16,924,0,0
67,1,1,16,939,0,0
68,1,1,16,1013,0,0
69,1,1,16,951,0,0
70,1,1,16,937,19,0
71,1,1,16,955,0,0
72,1,1,16,958,0,0
73,1,1,16,979,0,0
74,1,1,16,984,5,0
75,1,1,16,982,0,0
76,1,1,16,967,0,0
77,1,1,16,987,0,0
78,1,1,16,918,0,0
79,1,1,16,951,19,0
80,1,1,16,975,0,0
81,1,1,16,1035,0,0
82,1,1,16,980,0,0
83,1,1,16,935,1,0
84,1,1,16,961,7,0
85,1,1,16,964,0,0
86,1,1,16,981,0,0
87,1,1,16,968,0,0
88,1,1,16,1023,5,0
89,1,1,16,960,0,0
90,1,1,16,952,0,0
91,1,1,16,941,0,0
92,1,1,16,930,0,0
93,1,1,16,1003,16,0
94,1,1,16,915,0,0
95,1,1,16,970,0,0
96,1,1,16,1003,0,0
97,1,1,16,930,2,0
98,1,1,16,948,2,0
99,1,1,16,957,0,0
100,1,1,16,954,0,0
101,1,1,16,962,0,0
102,1,1,16,941,16,0
103,1,1,16,975,0,0
104,1,1,16,941,0,0
